MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A																									
																									
Data Acquisition			"110811 X-Prize Challenge 3A, 304L transverse tensile test, Wo=0.250"", Thicko=0.124"""			Time:	150.17554	Sec	11/9/2011 15:08																
Time	Axial Displacement	Axial Strain	Axial Force																						
Sec	in	in/in	lbf																						
9.7470703	0.029145733	0.000951559	968.25281																						
9.7770996	0.02929005	0.000929319	971.12775																						
9.8071289	0.029390018	0.000951011	974.51013																						
9.8371582	0.029447041	0.000936724	977.23444																						
9.8671875	0.02949984	0.000974723	977.51453																						
9.8972168	0.029616233	0.000963749	981.50922																						
9.9272461	0.029692968	0.000940562	981.88928																						
9.9572754	0.029757971	0.000958671	983.83746																						
9.9873047	0.029830482	0.00096592	989.41083																						
10.017334	0.02996823	0.001000346	990.5705																						
10.047363	0.030095182	0.000968974	993.66156																						
10.077393	0.03011865	0.000996171	997.11237																						
10.107422	0.030293943	0.000987698	997.38861																						
10.137451	0.030351436	0.000985846	1000.3121																						
10.16748	0.03035613	0.000989004	1003.9131																						
10.19751	0.030504202	0.000995271	1006.4261																						
10.227539	0.030653683	0.00101539	1013.0503																						
10.257568	0.030748019	0.001019746	1011.388																						
10.287598	0.030692402	0.001016327	1015.4986																						
10.317627	0.030920731	0.00103755	1018.2457																						
10.347656	0.030923078	0.001020196	1019.2836																						
10.377686	0.030984325	0.001029549	1023.2572																						
10.407715	0.031146947	0.001042011	1026.6206																						
10.437744	0.031253248	0.001038054	1031.9575																						
10.467773	0.031316373	0.001042641	1033.1455																						
10.497803	0.031411648	0.001055946	1032.2556																						
10.527832	0.031443328	0.001077647	1035.3623																						
10.557861	0.031519592	0.001090726	1037.4697																						
10.587891	0.031706151	0.001069196	1041.272																						
10.61792	0.031788282	0.001077938	1044.4541																						
10.647949	0.031788282	0.001088215	1046.6476																						
10.677979	0.031916175	0.001113025	1047.879																						
10.708008	0.032079034	0.001117077	1053.564																						
10.738037	0.03215741	0.00110522	1053.9208																						
10.768066	0.032216311	0.001116697	1054.7224																						
10.798096	0.032350071	0.001124632	1060.3334																						
10.828125	0.03233951	0.001112698	1061.6295																						
10.858154	0.032535218	0.001129239	1066.9781																						
10.888184	0.032628145	0.001138719	1069.9774																						
10.918213	0.032674376	0.001166182	1069.0468																						
10.948242	0.032788891	0.001162904	1071.0557																						
10.978271	0.032860696	0.001150074	1072.905																						
11.008301	0.032947991	0.0011724	1080.1101																						
11.03833	0.033082221	0.001189493	1082.3411																						
11.068359	0.033078466	0.001186375	1083.9397																						
11.098389	0.033211756	0.001186556	1086.6339																						
11.128418	0.033362176	0.001179034	1090.5615																						
11.158447	0.033326507	0.001187211	1089.9076																						
11.188477	0.033487953	0.001205197	1092.0248																						
11.218506	0.033547089	0.001214095	1098.1116																						
11.248535	0.033661608	0.001204713	1100.6669																						
11.278564	0.033716284	0.001200892	1102.7498																						
11.308594	0.033800762	0.001213662	1107.0317																						
11.338623	0.033970892	0.001224357	1109.1656																						
11.368652	0.034093387	0.001237254	1109.0049																						
11.398682	0.034151819	0.001265884	1111.8936																						
11.428711	0.034170121	0.00123862	1115.3389																						
11.45874	0.034264691	0.001250566	1118.5006																						
11.48877	0.034406666	0.001275398	1122.0762																						
11.518799	0.034461576	0.001263595	1122.4319																						
11.548828	0.034613639	0.001236258	1124.3444																						
11.578857	0.034662448	0.001288185	1130.1848																						
11.608887	0.034741998	0.001317135	1130.8701																						
11.638916	0.034840323	0.001307531	1135.155																						
11.668945	0.034918699	0.001299429	1139.5775																						
11.698975	0.035057858	0.001281839	1140.1564																						
11.729004	0.035113942	0.001322913	1141.2168																						
11.759033	0.035150081	0.001334481	1143.1648																						
11.789063	0.03525779	0.001336644	1145.6876																						
11.819092	0.035375357	0.001348824	1152.3315																						
11.849121	0.035409618	0.001347595	1151.1299																						
11.87915	0.03548377	0.001365731	1156.7831																						
11.90918	0.03561753	0.00136815	1157.9539																						
11.939209	0.035772409	0.001368648	1159.4589																						
11.969238	0.035832953	0.001379829	1163.0315																						
11.999268	0.035869557	0.001405029	1166.601																						
12.029297	0.036005899	0.001416306	1166.3679																						
12.059326	0.036129098	0.001411265	1171.6865																						
12.089355	0.036150217	0.001413997	1173.6115																						
12.119385	0.036271773	0.00142592	1177.9019																						
12.149414	0.036380656	0.00142832	1180.248																						
12.179443	0.036458097	0.001441255	1181.476																						
12.209473	0.036616258	0.001439706	1183.5386																						
12.239502	0.036599129	0.001458519	1186.7211																						
12.269531	0.036656622	0.00147607	1189.6321																						
12.299561	0.036842477	0.001473404	1194.9536																						
12.32959	0.036973182	0.001457562	1196.4269																						
12.359619	0.036998529	0.001500196	1196.974																						
12.389648	0.037086997	0.001524545	1201.0208																						
12.419678	0.037165843	0.001505818	1200.4191																						
12.449707	0.037270267	0.001536156	1204.7329																						
12.479736	0.037378918	0.001522005	1205.7252																						
12.509766	0.037427023	0.001531616	1212.4211																						
12.539795	0.037501179	0.001542822	1212.5857																						
12.569824	0.037653711	0.001558023	1215.9928																						
12.599854	0.037714723	0.001556051	1218.6653																						
12.629883	0.037824076	0.001582352	1221.8831																						
12.659912	0.037923805	0.001585787	1224.8091																						
12.689941	0.037990686	0.001574328	1225.1921																						
12.719971	0.037995849	0.00159973	1229.391																						
12.75	0.038161989	0.001615176	1231.0347																						
12.780029	0.03822488	0.001606808	1233.65																						
12.810059	0.038363334	0.001606296	1235.9056																						
12.840088	0.038487706	0.001640598	1241.062																						
12.870117	0.038510703	0.001656158	1240.9905																						
