MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A																									
																									
Data Acquisition			"110811 X-Prize Challenge 3A, 304L transverse tensile test, Wo=0.2495"", Thicko=0.124"""			Time:	150.17358	Sec	11/9/2011 15:22																
Time	Axial Displacement	Axial Strain	Axial Force																						
Sec	in	in/in	lbf																						
5.9313965	0.017224099	0.00059467	700.00677																						
5.9614258	0.01733885	0.000585158	704.02643																						
5.9914551	0.017446326	0.000579167	705.79193																						
6.0214844	0.017554037	0.000579322	706.33453																						
6.0515137	0.017647199	0.000568989	710.51947																						
6.081543	0.017629599	0.000570226	713.00067																						
6.1115723	0.01778307	0.000588519	718.0965																						
6.1416016	0.017970096	0.000578993	718.18103																						
6.1716309	0.017923867	0.000598392	719.81085																						
6.2016602	0.018071001	0.000633087	723.89111																						
6.2316895	0.018164868	0.000580613	724.31226																						
6.2617188	0.018237613	0.000594299	726.13348																						
6.291748	0.018343681	0.000615897	731.47876																						
6.3217773	0.018507712	0.000607693	734.8219																						
6.3518066	0.018614484	0.000597964	737.05133																						
6.3818359	0.01865156	0.000635869	737.4375																						
6.4118652	0.018694034	0.000611252	740.63708																						
6.4418945	0.018806908	0.000626549	744.19379																						
6.4719238	0.018941605	0.000632105	747.72485																						
6.5019531	0.019015994	0.000615477	747.94037																						
6.5319824	0.019083107	0.000650318	751.43109																						
6.5620117	0.019161955	0.000645708	752.46747																						
6.592041	0.019240567	0.000630564	756.4826																						
6.6220703	0.019360716	0.00064609	758.46869																						
6.6520996	0.019427124	0.000657944	760.86774																						
6.6821289	0.019531315	0.000651845	763.9361																						
6.7121582	0.019534132	0.000633457	765.25989																						
6.7421875	0.019689245	0.000670158	768.35773																						
6.7722168	0.019796485	0.000673013	774.60498																						
6.8022461	0.019850928	0.000654105	774.10931																						
6.8322754	0.020014489	0.000678984	776.64349																						
6.8623047	0.020012612	0.000692655	779.13855																						
6.892334	0.020099906	0.000674407	780.51807																						
6.9223633	0.020206444	0.000679146	784.41754																						
6.9523926	0.020385023	0.00071857	788.28308																						
6.9824219	0.020445567	0.000687605	793.0379																						
7.0124512	0.020469267	0.000694087	791.091																						
7.0424805	0.020557031	0.000712997	794.81232																						
7.0725098	0.020687271	0.000677416	798.07312																						
7.1025391	0.020867024	0.00072218	800.53613																						
7.1325684	0.020873358	0.000730644	803.73798																						
7.1625977	0.02096347	0.000698364	805.99786																						
7.192627	0.021051234	0.000714081	808.1319																						
7.2226563	0.021092067	0.000732795	809.3999																						
7.2526855	0.021264074	0.000731413	812.84155																						
7.2827148	0.021317108	0.000729481	816.59406																						
7.3127441	0.021416841	0.000742587	818.47778																						
7.3427734	0.021488179	0.000750691	822.91425																						
7.3728027	0.021535581	0.000754239	822.61945																						
7.402832	0.021634843	0.000740824	824.39966																						
7.4328613	0.021733871	0.000772256	829.6839																						
7.4628906	0.021864111	0.000779335	828.65564																						
7.4929199	0.021917613	0.000761503	833.15271																						
7.5229492	0.022068502	0.000753142	834.66254																						
7.5529785	0.022149462	0.000794595	839.85333																						
7.5830078	0.022248255	0.000761646	843.76288																						
7.6130371	0.022286739	0.000756772	844.32178																						
7.6430664	0.022301992	0.000793095	845.8562																						
7.6730957	0.022419324	0.000782744	848.12085																						
7.703125	0.022620901	0.000775343	850.75763																						
7.7331543	0.022604005	0.000809888	854.55811																						
7.7631836	0.022777891	0.00080673	859.30139																						
7.7932129	0.022816846	0.000800081	859.12079																						
7.8232422	0.022938402	0.000811503	861.62408																						
7.8532715	0.023076618	0.000809289	863.58215																						
7.8833008	0.02310032	0.000823556	865.87524																						
7.9133301	0.023257544	0.000817976	870.25043																						
7.9433594	0.023287347	0.000846338	870.95197																						
7.9733887	0.023357512	0.000837163	876.31525																						
8.003418	0.023509808	0.000833678	877.54279																						
8.0334473	0.023566596	0.000827937	881.3808																						
8.0634766	0.023637701	0.000883831	882.46216																						
8.0935059	0.023807362	0.000848818	884.41577																						
8.1235352	0.023763714	0.000846782	888.98309																						
8.1535645	0.023884567	0.000863444	891.81006																						
8.1835938	0.024141524	0.000868898	894.4303																						
8.213623	0.024156777	0.000895362	896.71747																						
8.2436523	0.024214504	0.000876305	898.03448																						
8.2736816	0.02431494	0.000880352	899.98853																						
8.3037109	0.024333479	0.000879764	903.22253																						
8.3337402	0.024488358	0.000905915	905.6452																						
8.3637695	0.024602169	0.000907287	907.61902																						
8.3937988	0.024588559	0.000897491	910.54669																						
8.4238281	0.024682425	0.000912946	915.21588																						
8.4538574	0.024881419	0.000918331	916.5451																						
8.4838867	0.024887051	0.000889087	919.71851																						
8.513916	0.025063518	0.000927769	921.95325																						
8.5439453	0.025040288	0.000945242	923.38593																						
8.5739746	0.025152691	0.000911622	929.01343																						
8.6040039	0.025239047	0.000916002	931.89972																						
8.6340332	0.025354501	0.000943292	933.58936																						
8.6640625	0.025497178	0.000951693	934.37976																						
8.6940918	0.025552088	0.000944583	937.27301																						
8.7241211	0.025567811	0.000915455	939.38116																						
8.7541504	0.025665198	0.000950427	942.43274																						
8.7841797	0.025845889	0.000967385	945.75629																						
8.814209	0.025951017	0.000961201	948.6286																						
8.8442383	0.025955241	0.000952767	951.22784																						
8.8742676	0.026071165	0.00098641	953.76904																						
8.9042969	0.026194364	0.000972094	954.91486																						
8.9343262	0.026248571	0.00099169	956.6308																						
8.9643555	0.026334694	0.000988406	961.72223																						
8.9943848	0.026513742	0.001024906	963.57965																						
9.0244141	0.026544249	0.001009904	968.901																						
9.0544434	0.026618168	0.001004434	971.04346																						
9.0844727	0.026626615	0.001024617	970.94946																						
9.114502	0.026813878	0.001035855	971.92548																						
9.1445313	0.026923934	0.001037301	974.46887																						
9.1745605	0.027057458	0.001013597	979.13287																						
9.2045898	0.027094301	0.001040736	984.46765																						
9.2346191	0.027167516	0.00104232	985.62988																						
9.2646484	0.027284613	0.001047714	986.86255																						
9.2946777	0.027277337	0.001053938	989.38385																						
9.324707	0.027378244	0.00106577	992.76428																						
9.3547363	0.027569495	0.001087621	993.4447																						
9.3847656	0.027557997	0.001058519	997.67932																						
9.4147949	0.027731648	0.001072992	1001.5745																						
9.4448242	0.027703958	0.001090892	1003.373																						
9.4748535	0.027872212	0.001085868	1004.5103																						
9.5048828	0.027984381	0.001105679	1006.4956																						
9.5349121	0.028191119	0.00109939	1012.0905																						
9.5649414	0.028194875	0.001122065	1013.2225																						
9.5949707	0.028238522	0.001112235	1015.6746																						
9.625	0.028323235	0.00113399	1017.7471																						
9.6550293	0.028469665	0.001132807	1021.6618																						
9.6850586	0.028544992	0.001125639	1023.5842																						
9.7150879	0.028603893	0.001142493	1025.288																						
9.7451172	0.028754078	0.001148311	1029.6379																						
9.7751465	0.028763231	0.001145214	1028.8926																						
9.8051758	0.028915528	0.001162238	1033.9183																						
9.8352051	0.029080495	0.001175145	1040.6378																						
9.8652344	0.029111471	0.001159694	1040.8788																						
9.8952637	0.029122971	0.001180931	1043.2632																						
9.925293	0.029247342	0.00116826	1044.6146																						
9.9553223	0.029363735	0.001168082	1047.1958																						
